evaluations raw_y
228 2.8344671202
663 2.9976019185
741 3.3156498674
1022 3.3875338753
1100 3.6231884058
2111 3.7993920973
2135 3.8940809969
3143 3.9936102236
3158 4.0983606557
3165 4.4483985765
5000 4.4483985765
evaluations raw_y
1 0.7130633200
2 1.4585764294
7 1.4863258026
10 1.8573551263
24 1.9747235387
91 2.4366471735
133 2.7352297593
258 2.9411764706
335 3.1806615776
1145 3.7993920973
1629 4.2087542088
5000 1.3935340022
evaluations raw_y
1 1.6778523490
6 1.9747235387
28 2.3629489603
34 2.5562372188
257 2.6427061311
326 3.0562347188
1086 3.2467532468
1519 3.3156498674
1693 3.5410764873
1979 3.6231884058
5000 2.8868360277
evaluations raw_y
1 1.0137875101
2 1.0477787091
5 1.2899896801
10 1.6254876463
12 1.7146776406
13 1.7730496454
19 2.0798668885
43 2.1663778163
90 2.5150905433
117 2.5562372188
168 2.7352297593
201 3.2467532468
248 3.8940809969
5000 2.3277467412
evaluations raw_y
1 0.6819421713
3 1.2690355330
11 1.8573551263
19 1.8796992481
43 1.9260400616
66 2.0000000000
155 2.1663778163
157 2.1968365554
241 2.5150905433
363 2.5562372188
411 2.7352297593
441 2.7839643653
499 3.0562347188
733 3.1172069825
770 3.7993920973
1615 3.9936102236
2381 4.4483985765
2388 4.8638132296
3252 5.5555555556
5000 2.1079258010
evaluations raw_y
1 0.8305647841
2 0.9881422925
3 1.2487512488
4 1.2899896801
5 1.6425755585
14 1.6600265604
16 1.9747235387
22 2.0259319287
50 2.0525451560
116 2.0798668885
128 2.1968365554
153 2.5150905433
180 2.5562372188
196 2.6427061311
207 2.7839643653
334 2.9411764706
815 2.9976019185
910 3.1172069825
967 3.1806615776
1303 3.3156498674
1633 3.4626038781
1642 3.5410764873
2035 3.7091988131
4635 3.8940809969
5000 1.9260400616
evaluations raw_y
1 0.8871540099
3 1.2690355330
7 1.3691128149
12 1.4060742407
13 2.0525451560
26 2.1079258010
67 2.2281639929
123 2.2935779817
195 2.4366471735
198 2.4752475248
516 2.5562372188
543 2.8344671202
867 3.0562347188
1030 3.3875338753
1121 3.7993920973
1555 3.9936102236
5000 3.3156498674
evaluations raw_y
1 1.1071744907
2 1.5605493134
9 1.7146776406
13 1.7531556802
15 1.9260400616
36 2.3629489603
91 2.5987525988
305 2.9411764706
793 2.9976019185
813 4.0983606557
888 4.2087542088
5000 2.3992322457
evaluations raw_y
1 1.3007284079
6 1.7730496454
13 2.2935779817
23 2.5150905433
41 2.6427061311
108 2.7352297593
133 2.8868360277
143 2.9411764706
223 2.9976019185
271 3.0562347188
577 3.3156498674
907 3.4626038781
2172 3.6231884058
2531 3.7993920973
2620 4.0983606557
3377 4.2087542088
5000 1.9260400616
