evaluations raw_y
1 -470.0000000000
2 -423.0000000000
3 -363.0000000000
5 -282.0000000000
41 -228.0000000000
104 -208.0000000000
165 -154.0000000000
246 -147.0000000000
409 -134.0000000000
441 -121.0000000000
570 -107.0000000000
578 -88.0000000000
665 -75.0000000000
951 -48.0000000000
1313 -36.0000000000
1442 -28.0000000000
1841 -16.0000000000
2930 -9.0000000000
3799 -8.0000000000
3873 4.0000000000
4836 5.0000000000
5000 -87.0000000000
evaluations raw_y
1 -383.0000000000
2 -362.0000000000
4 -295.0000000000
14 -288.0000000000
27 -248.0000000000
66 -228.0000000000
130 -201.0000000000
288 -188.0000000000
356 -154.0000000000
625 -128.0000000000
925 -121.0000000000
995 -75.0000000000
1298 -74.0000000000
1314 -68.0000000000
1416 -48.0000000000
1988 -42.0000000000
2049 -41.0000000000
2095 -29.0000000000
2126 -22.0000000000
2302 -10.0000000000
2544 -8.0000000000
2637 -2.0000000000
